category,subdomain,type_hint,growth,posting_trend,posting_volume,openings_ratio,skills_gap,durability,automation_resilience,cross_sector_use,skill,demand,scarcity,future_proof
Design,Design Core,hard,62.16313653615761,48.447553739772104,74.05606838239123,48.69425062004469,67.86586422394784,67.91875692871669,48.015944088284755,74.86435092628159,Python,59.8,54.4,62.3
Design,Design Core,hard,46.9872698974252,64.28415828509361,39.191325414477134,49.62636368053712,62.07499783541073,90.51575410892984,51.43770197978157,60.93870926574371,SQL,51.0,53.4,70.9
Design,Design Core,hard,78.25396078749623,93.07170077759233,69.62617691704992,65.23070420718979,90.76526549083184,52.282551350270055,89.64035987053134,64.19085503025214,JavaScript,81.4,72.9,67.7
Design,Design Core,hard,52.645519417944186,46.59636533238863,53.508909446116064,86.6224443151216,49.39777175604475,78.49840801946084,78.22350038416157,68.24747959356083,TypeScript,51.0,75.5,76.4
Design,Design Core,hard,74.03045668260657,43.5161825985061,38.57607019797396,55.503894353785654,75.38079860545287,70.95202297780074,61.33565285959316,78.69253131187429,React,59.6,61.5,69.1
Design,Design Core,hard,69.01877194765109,56.78695182436621,82.66276889134947,80.64871612020814,52.69301855755195,78.14676180267489,72.31021819819547,92.88173728309802,Node.js,67.4,72.3,79.1
Design,Design Core,hard,83.66060034027853,56.12451483385044,93.81049084955492,51.02135469100307,61.74238673283182,87.09990554869722,52.90319580234625,73.95919192331448,Docker,76.9,54.2,72.5
Design,Design Core,hard,47.0779846235142,77.42008796592613,80.87425197276879,74.22432295414659,85.5248462152062,65.37362812955675,81.15535904623027,79.1241239781459,Kubernetes,61.3,77.6,73.6
Design,Design Core,hard,75.73444582697209,65.54749855287913,85.39806683075248,93.1787358505048,64.65311354582151,82.54345806825904,48.15481023505542,84.37310904391677,AWS,74.1,84.6,70.9
Design,Design Core,hard,79.29782928996644,95.6133726101315,84.3154871965829,59.51437213680161,60.06115500722896,82.76398307832523,46.173272258890606,72.62306902868852,Git,84.9,59.7,67.9
Design,Design Core,hard,53.90656408204686,46.55736449097699,38.53726515987862,84.17988241209855,46.72569154497158,62.1331268511488,65.3293845629278,92.69967673218866,REST API design,49.4,72.9,69.4
Design,Design Core,hard,49.27080896360735,65.15449445316253,67.96639454864224,90.05257514851714,82.60255156745855,92.33523901522724,59.47789535472265,70.34952934337323,GraphQL,56.8,87.8,76.4
Design,Design Core,hard,64.01487176257612,89.51479832310015,92.46387223783948,52.696966195346555,49.16332188149926,61.36588647415725,57.13347635140478,73.76317378672647,CI/CD,75.9,51.6,62.4
Design,Design Core,hard,76.22354569780956,54.713810680718126,35.245616203103836,66.36627155739173,59.20118579052572,77.75071996161321,94.56109212730496,83.83418919966292,Linux,63.6,64.2,84.9
Design,Design Core,hard,72.32104595275126,74.58519396691115,75.57200494697008,47.7536375544133,86.77571652301351,88.21850504459758,90.47468557499278,89.09578293863174,Terraform,73.5,59.5,89.2
Design,Design Core,hard,65.79608206523724,62.34281460993529,41.21222562261946,77.34876784997115,43.236886724171754,53.30003317630822,55.85568564320055,57.95285620083277,Data visualization,61.1,67.1,55.1
Design,Design Core,hard,63.0228435683142,42.94423381785495,35.013996914081396,52.714511546250826,45.276147137175016,67.81688617969398,46.32604610663957,92.84228649131715,Machine learning,52.8,50.5,65.3
Design,Design Core,hard,77.54565635278936,48.31882717852992,50.13546539342464,62.716866848738775,58.93649885547069,56.01926930734755,89.14472017719999,98.66203336353098,Deep learning,64.7,61.6,76.1
Design,Design Core,hard,69.69744133547648,67.0947407593111,40.15307969336993,50.21156845415659,57.817063588636096,62.973087694141824,88.10047966232115,57.91049191579514,pandas,64.5,52.5,70.8
Design,Design Core,hard,46.22407321539815,93.25519208098332,66.69544370252748,52.476729483853624,68.24496614586994,51.325082079686254,72.46169092879194,97.94656089322967,Spark,63.4,57.2,68.0
Design,Design Core,hard,90.75622660535244,78.98702001083691,50.66691183376171,63.70168937982013,48.68618579578549,87.82495751169952,72.6948046696297,88.17368967557069,Tableau,81.2,59.2,82.6
Design,Design Core,hard,62.472244737531405,52.49033369377837,83.6906748064157,95.23122858013542,84.33669753482636,89.49785065449771,87.5533130529194,86.25377799840999,Power BI,62.7,92.0,88.2
